scale,D,Gini,H,Atkinson_0.5,Isolation,Interaction,CorrelationV,SI
local,0.46203786898659527,0.6506615325986922,0.2757925919640632,0.4788672720050623,0.4035527036088802,0.5964472963911198,0.26228708641612036,0.4035527036088801
50,0.1995254422918104,0.2773225852827409,-0.00397762921446266,0.002779239111165288,0.23395273160328606,0.766047268396714,0.05251819275355862,0.2166820194237051
200,0.1384958408046052,0.18485345565915587,-0.021819117140162755,-0.026034576383492825,0.21777301197785776,0.7822269880221423,0.03250638587964838,0.1989427082710486
800,0.08830507836604042,0.11297541091213481,-0.0243512304126877,-0.03175698972400376,0.20665122765874638,0.7933487723412536,0.01875046148541164,0.19244040971868326
